"consignee","sku","sku_group","uom","lower_uom","units_per_lowest_uom","net_weight","length","width","height","volume","transport_class","stock_category","storage_class","pollution_class","max_stack","orientation_constraint"
"WH1","F2019083000043990000","To cook & heat","E","","","0.485","6","16","18","1728","J","THT","02","","",""
"WH1","F2019083000044000000","To compose","E","","","0.425","19","14.000000000000002","4","1064","N","THT","02","","",""
"WH1","F2019090300044020000","To cook & heat","E","","","0.525","23","18","4","1656","J","THT","02","","",""
"WH1","F2019090600044130000","Prepacked bread","E","","","0.316","30","20","6","3600","N","THT","01","","",""
"WH1","F2019090900044200000","Empties","E","","","2.07","60","40","24","57600","N","INSL","01","","",""
"WH1","F2019090900044210000","Empties","E","","","1.82","60","40","22","52800","N","INSL","01","","",""
"WH1","F2019090900044220000","Empties","E","","","1.54","60","40","18","43200","N","INSL","01","","",""
"WH1","F2019090900044230000","Empties","E","","","1.35","60","40","16","38400","N","INSL","01","","",""
"WH1","F2019091000044280000","Empties","E","","","1.34","60","40","13","31200","N","INSL","01","","",""
"WH1","F2019091000044290000","Empties","E","","","13.5","60","40","16","38400","N","INSL","01","","",""
"WH1","F2019091000044300000","Empties","E","","","0.755","40","30","17","20400","N","INSL","01","","",""
"WH1","F2019091000044310000","Empties","E","","","1.19","60","40","11","26400","N","INSL","01","","",""
"WH1","F2019091100044320000","Empties","E","","","0.69","40","30","16","19200","N","INSL","01","","",""
"WH1","F2019091100044330000","Empties","E","","","1.35","60","40","16","38400","N","INSL","01","","",""
"WH1","F2019091100044340000","Empties","E","","","1.54","60","40","18","43200","N","INSL","01","","",""
"WH1","F2019091100044350000","Empties","E","","","1.82","60","40","22","52800","N","INSL","01","","",""
"WH1","F2019091100044370000","Empties","E","","","1.34","60","40","13","31200","N","INSL","01","","",""
"WH1","F2019091200044400000","Empties","E","","","1.19","60","40","11","26400","N","INSL","01","","",""
"WH1","F2019091200044410000","Empties","E","","","0.55","40","30","11","13200","N","INSL","01","","",""
"WH1","F2019091200044420000","Empties","E","","","0.69","40","30","16","19200","N","INSL","01","","",""
"WH1","F2019091200044430000","Empties","E","","","1.98","60","40","21","50400","N","INSL","01","","",""
"WH1","F2019091300044640000","Prepacked bread","E","","","0.284","9","3","7.000000000000001","189","N","THT","01","","",""
"WH1","F2019091300044650000","Prepacked bread","E","","","0.284","9","3","7.000000000000001","189","N","THT","01","","",""
"WH1","F2019091700044850000","Yoghurt Soft white cheeses & desserts","E","","","0.534","15","13","6","1170","N","THT","02","","",""
"WH1","F2019091700044860000","Yoghurt Soft white cheeses & desserts","E","","","0.534","15","13","6","1170","N","THT","02","","",""
"WH1","F2019091700044870000","Yoghurt Soft white cheeses & desserts","E","","","0.534","15","13","6","1170","N","THT","02","","",""
"WH1","F2019091800044880000","Vegetarian products","E","","","0.214","4","14.000000000000002","19","1064","N","THT","02","","",""
"WH1","F2019092300044990000","Prepacked bread","E","","","0.375","13","7.000000000000001","16","1456","N","THT","01","","",""
"WH1","F2019092600045130000","Fresh meat packed","E","","","0.564","23","15","6","2070","N","THT","02","","",""
"WH1","F2019092700045190000","Cheese","E","","","0.153","5","14.000000000000002","4","280","N","THT","02","","",""
"WH1","F2019092700045200000","Cheese","E","","","0.25","11","11","3","363","N","THT","02","","",""
"WH1","F2019093000045230000","Apero & Entrees","E","","","0.234","21","15","5","1575","J","THT","02","","",""
"WH1","F2019093000045250000","To go","E","","","0.268","10","10","9","900","N","THT","02","","",""
"WH1","F2019093000045260000","To go","E","","","0.268","10","10","9","900","N","THT","02","","",""
"WH1","F2019093000045270000","To go","E","","","0.268","10","10","9","900","N","THT","02","","",""
"WH1","F2019093000045280000","To go","E","","","0.268","10","10","9","900","N","THT","02","","",""
"WH1","F2019093000045290000","To go","E","","","0.268","10","10","9","900","J","THT","02","","",""
"WH1","F2019100100045310000","To compose","E","","","0.525","19","14.000000000000002","4","1064","N","THT","02","","",""
"WH1","F2019100400045380000","To compose","E","","","0.33","19","16","1","304","J","THT","02","","",""
"WH1","F2019100800045500000","Charcuterie","E","","","0.178","22","23","9","4554","N","THT","02","","",""
"WH1","F2019100800045510000","","E","","","0.109","13","11","4","572","J","THT","02","","",""
"WH1","F2019100800045530000","Shrimps","E","","","0.111","13","14.000000000000002","4","728","J","THT","02","","",""
"WH1","F2019100800045540000","Shrimps","E","","","0.214","19","14.000000000000002","3","798","J","THT","02","","",""
"WH1","F2019101400045750000","Prepacked bread","E","","","0.43","11","8","16","1408","N","THT","01","","",""
"WH1","F2019101400045780000","Prepacked bread","E","","","0.43","21","6","10","1260","N","THT","01","","",""
"WH1","F2019102900046240000","Yoghurt Soft white cheeses & desserts","E","","","0.501","10","10","13","1300","N","THT","02","","",""
"WH1","F2019110500046280000","Spreadables","E","","","0.197","12","9","6","648","N","THT","02","","",""
"WH1","F2019110500046290000","mediterranean products","E","","","0.121","11","11","5","605","N","THT","02","","",""
"WH1","F2019110500046300000","Spreadables","E","","","0.197","12","9","6","648","N","THT","02","","",""
"WH1","F2019110500046320000","Spreadables","E","","","0.415","12","9","9","972","N","THT","02","","",""
"WH1","F2019110700046450000","Processed fish","E","","","0.137","14.000000000000002","10","4","560","N","THT","02","","",""
"WH1","F2019111200046490000","Yoghurt Soft white cheeses & desserts","E","","","0.177","10","10","6","600","N","THT","02","","",""
"WH1","F2019111300046550000","Charcuterie","E","","","0.16","23","19","2","874","N","THT","02","","",""
"WH1","F2019111300046570000","Yoghurt Soft white cheeses & desserts","E","","","0.179","10","10","6","600","J","THT","02","","",""
"WH1","F2019111500046800000","mediterranean products","E","","","0.167","10","8","5","400","N","THT","02","","",""
"WH1","F2019112000046910000","Cheese","E","","","0.165","9","9","3","243","N","THT","02","","",""
"WH1","F2019112100046950000","Ingredients dairy","E","","","0.38","22","25","3","1650","J","THT","02","","",""
"WH1","F2019112800047400000","Yoghurt Soft white cheeses & desserts","E","","","0.494","13","13","7.000000000000001","1183","N","THT","02","","",""
"WH1","F2019112800047420000","mediterranean products","E","","","0.155","12","12","5","720","N","THT","02","","",""
"WH1","F2019120200047670000","Cheese","E","","","0.167","18","2","9","324","N","THT","02","","",""
"WH1","F2019120400047940000","Apero & Entrees","E","","","0.174","15","11","5","825","J","THT","02","","",""
"WH1","F2019120500047960000","Apero & Entrees","E","","","0.3","18","18","7.000000000000001","2268","N","THT","02","","",""
"WH1","F2019120500047970000","Apero & Entrees","E","","","0.3","18","18","7.000000000000001","2268","N","THT","02","","",""
"WH1","F2019121000048300000","Yoghurt Soft white cheeses & desserts","E","","","0.379","15","10","6","900","N","THT","02","","",""
"WH1","F2019121000048330000","Cheese","E","","","0.335","23","15","4","1380","N","THT","02","","",""
"WH1","F2019121000048340000","Cheese","E","","","0.335","23","15","4","1380","N","THT","02","","",""
"WH1","F2019121000048350000","Cheese","E","","","0.335","23","15","4","1380","N","THT","02","","",""
"WH1","F2019121000048360000","Cheese","E","","","0.335","23","15","4","1380","N","THT","02","","",""
"WH1","F2019121300048470000","Prepacked bread","E","","","0.315","4","27","20","2160","N","THT","01","","",""
"WH1","F2019121600048480000","Ingredients dairy","E","","","0.544","11","6","17","1122","N","THT","02","","",""
"WH1","F2019121600048490000","Ingredients dairy","E","","","0.55","11","6","17","1122","N","THT","02","","",""
"WH1","F2019121600048520000","Cheese","E","","","0.153","7.000000000000001","7.000000000000001","4","196","N","THT","02","","",""
"WH1","F2019121700048540000","Ingredients dairy","E","","","0.564","11","6","17","1122","N","THT","02","","",""
"WH1","F2019121800048590000","Poultry & rabbit & exotic","E","","","0.313","19","14.000000000000002","4","1064","N","THT","02","","",""
"WH1","F2019121800048620000","Charcuterie","E","","","0.16","23","19","2","874","N","THT","02","","",""
"WH1","F2019122300048750000","To cook & heat","E","","","0.285","25","13","6","1950","J","THT","02","","",""
"WH1","F2019122600048940000","Yoghurt Soft white cheeses & desserts","E","","","1.042","14.000000000000002","14.000000000000002","14.000000000000002","2744","J","THT","02","","",""
"WH1","F2019122700049010000","Yoghurt Soft white cheeses & desserts","E","","","0.517","10","10","13","1300","N","THT","02","","",""
"WH1","F2019122700049020000","Yoghurt Soft white cheeses & desserts","E","","","0.52","10","10","13","1300","N","THT","02","","",""
"WH1","F2019122700049030000","Yoghurt Soft white cheeses & desserts","E","","","0.805","13","13","8","1352","N","THT","02","","",""
"WH1","F2019123000049070000","Fresh meat packed","E","","","0.217","18","2","10","360","N","THT","02","","",""
"WH1","F2019123000049100000","To cook & heat","E","","","0.543","19","16","5","1520","J","THT","02","","",""
"WH1","F2019123000049110000","To cook & heat","E","","","0.543","19","16","5","1520","N","THT","02","","",""
"WH1","F2019123000049120000","To cook & heat","E","","","0.543","19","16","5","1520","J","THT","02","","",""
"WH1","F2019123100049170000","To cook & heat","E","","","0.543","19","16","5","1520","J","THT","02","","",""
"WH1","F2019123100049190000","To cook & heat","E","","","0.543","19","16","5","1520","N","THT","02","","",""
"WH1","F2020010300049230000","To cook & heat","E","","","0.58","6","16","18","1728","J","THT","02","","",""
"WH1","F2020010300049240000","To cook & heat","E","","","0.54","6","16","18","1728","J","THT","02","","",""
"WH1","F2020010600049280000","To cook & heat","E","","","0.23","23","14.000000000000002","4","1288","N","THT","02","","",""
"WH1","F2020010700049410000","","E","","","0.49","20","15","5","1500","J","THT","02","","",""
"WH1","F2020010800049430000","","E","","","0.49","20","15","5","1500","J","THT","02","","",""
"WH1","F2020010800049500000","","E","","","0.49","20","15","5","1500","J","THT","02","","",""
"WH1","F2020010900049650000","Vegetarian products","E","","","0.15","18","14.000000000000002","4","1008","N","THT","02","","",""
"WH1","F2020010900049660000","Vegetarian products","E","","","0.195","18","14.000000000000002","4","1008","N","THT","02","","",""
"WH1","F2020010900049670000","Vegetarian products","E","","","0.225","18","14.000000000000002","4","1008","N","THT","02","","",""
"WH1","F2020010900049680000","Vegetarian products","E","","","0.185","18","14.000000000000002","4","1008","N","THT","02","","",""
"WH1","F2020010900049700000","Cheese","E","","","0.147","10","10","6","600","N","THT","02","","",""
"WH1","F2020010900049730000","Vegetarian products","E","","","0.2","18","14.000000000000002","4","1008","N","THT","02","","",""
"WH1","F2020011300049820000","To cook & heat","E","","","0.43","20","15","5","1500","N","THT","02","","",""
"WH1","F2020011300049860000","To cook & heat","E","","","0.45","20","15","5","1500","N","THT","02","","",""
"WH1","F2020011300049870000","","E","","","0.45","20","15","5","1500","J","THT","02","","",""
"WH1","F2020011500049970000","Yoghurt Soft white cheeses & desserts","E","","","1.32","9","26","11","2574","N","THT","02","","",""
"WH1","F2020011500050030000","To cook & heat","E","","","0.327","25","12","6","1800","N","THT","02","","",""
"WH1","F2020011500050040000","Ready to use fresh vegetables  & prepare","E","","","0.175","6","4","14.000000000000002","336","N","THT","02","","",""
"WH1","F2020011500050050000","Ready to use fresh vegetables  & prepare","E","","","0.175","6","4","14.000000000000002","336","N","THT","02","","",""
"WH1","F2020011600050130000","To cook & heat","E","","","0.212","18","12","5","1080","N","THT","02","","",""
"WH1","F2020011600050150000","Ingredients dairy","E","","","0.209","4","4","11","176","N","THT","02","","",""
"WH1","F2020012100050460000","Fresh Juices","E","","","0.972","8","8","24","1536","N","THT","02","","",""
"WH1","F2020012900050970000","Vegetarian products","E","","","0.28","14.000000000000002","10","4","560","N","THT","02","","",""
"WH1","F2020012900050980000","Vegetarian products","E","","","0.238","14.000000000000002","10","3","420","N","THT","02","","",""
"WH1","F2020012900051030000","mediterranean products","E","","","0.169","13","13","7.000000000000001","1183","N","THT","02","","",""
"WH1","F2020013000051060000","Yoghurt Soft white cheeses & desserts","E","","","0.368","10","10","10","1000","N","THT","02","","",""
"WH1","F2020013100051100000","Fresh Juices","E","","","0.334","7.000000000000001","7.000000000000001","12","588","N","THT","02","","",""
"WH1","F2020013100051110000","Charcuterie","E","","","0.112","19","13","2","494","J","THT","02","","",""
"WH1","F2020020300051170000","Charcuterie","E","","","0.112","19","13","2","494","N","THT","02","","",""
"WH1","F2020020600051320000","To cook & heat","E","","","1.47","24","18","9","3888","N","THT","02","","",""
"WH1","F2020020600051530000","Poultry & rabbit & exotic","E","","","0.267","20","16","4","1280","N","THT","02","","",""
"WH1","F2020020700051590000","Processed fish","E","","","0.168","16","12","4","768","N","THT","02","","",""
"WH1","F2020021000051630000","Fresh Juices","E","","","0.531","7.000000000000001","7.000000000000001","19","931","N","THT","02","","",""
"WH1","F2020021000051640000","Fresh Juices","E","","","0.08","5","5","8","200","N","THT","02","","",""
"WH1","F2020021000051650000","Fresh Juices","E","","","0.08","5","5","8","200","N","THT","02","","",""
"WH1","F2020021000051670000","Fresh Juices","E","","","0.531","7.000000000000001","7.000000000000001","19","931","N","THT","02","","",""
"WH1","F2020021000051680000","Fresh Juices","E","","","0.08","5","5","8","200","N","THT","02","","",""
"WH1","F2020021000051730000","Vegetables & potatoes","E","","","0.53","19","13","7.000000000000001","1729","N","INSL","01","","",""
"WH1","F2020021100051740000","To cook & heat","E","","","0.285","25","12","5","1500","N","THT","02","","",""
"WH1","F2020021200051900000","Fresh Juices","E","","","0.82","8","8","22","1408","N","THT","02","","",""
"WH1","F2020021200051910000","Fresh Juices","E","","","0.82","8","8","22","1408","N","THT","02","","",""
"WH1","F2020021200051920000","Fresh Juices","E","","","0.82","8","8","22","1408","N","THT","02","","",""
"WH1","F2020021400052000000","Apero & Entrees","E","","","0.174","15","11","5","825","N","THT","02","","",""
"WH1","F2020021700052090000","Processed fish","E","","","0.22","19","1","27","513","N","THT","02","","",""
"WH1","F2020021900052360000","Vegetables & potatoes","E","","","1.1","24","16","9","3456","N","INSL","02","","",""
"WH1","F2020022100052470000","Vegetables & potatoes","E","","","0.67","15","20","6","1800","N","INSL","02","","",""
"WH1","F2020022400052560000","Processed fish","E","","","0.15","23","14.000000000000002","2","644","N","THT","02","","",""
"WH1","F2020030200053290000","Cheese","E","","","0.195","14.000000000000002","18","3","756","N","THT","02","","",""
"WH1","F2020030200053300000","Cheese","E","","","0.195","18","14.000000000000002","3","756","N","THT","02","","",""
"WH1","F2020030400053380000","Fats","E","","","0.239","9","9","5","405","N","THT","02","","",""
"WH1","F2020030400053410000","Ingredients dairy","E","","","0.205","26","23","2","1196","N","THT","02","","",""
"WH1","F2020030400053420000","Ingredients dairy","E","","","0.205","26","23","2","1196","N","THT","02","","",""
"WH1","F2020030900053690000","To go","E","","","0.469","12","12","11","1584","N","THT","02","","",""
"WH1","F2020030900053700000","To go","E","","","0.419","12","12","11","1584","N","THT","02","","",""
"WH1","F2020030900053710000","To go","E","","","0.419","12","12","11","1584","N","THT","02","","",""
"WH1","F2020030900053730000","To go","E","","","0.419","12","12","11","1584","N","THT","02","","",""
"WH1","F2020030900053740000","To go","E","","","0.723","14.000000000000002","14.000000000000002","12","2352","N","THT","02","","",""
"WH1","F2020030900053760000","Fruits","E","","","1.6","20","20","15","6000","N","THT","02","","",""
"WH1","F2020031300053830000","Charcuterie","E","","","0.115","21","20","1","420","N","THT","02","","",""
"WH1","F2020031600054010000","Fresh meat packed","E","","","0.523","23","14.000000000000002","4","1288","N","THT","02","","",""
"WH1","F2020031900054830000","Cheese","E","","","0.154","2","10","14.000000000000002","280","N","THT","02","","",""
"WH1","F2020032300055110000","To go","E","","","0.385","12","12","11","1584","N","THT","02","","",""
"WH1","F2020032300055440000","To go","E","","","0.369","12","12","11","1584","N","THT","02","","",""
"WH1","F2020032300055460000","Fruits","E","","","0.06","6","8","5","240","N","INSL","02","","",""
"WH1","F2020032400055490000","Fruits","E","","","0.1","9","8","8","576","N","INSL","02","","",""
"WH1","F2020032400055500000","Fruits","E","","","0.06","6","8","5","240","N","INSL","02","","",""
"WH1","F2020032400055520000","To go","E","","","0.369","12","12","11","1584","N","THT","02","","",""
"WH1","F2020032400055530000","Vegetables & potatoes","E","","","0.15","24","5","5","600","N","INSL","01","","",""
"WH1","F2020032400055540000","Vegetables & potatoes","E","","","0.16","18","5","6","540","N","INSL","01","","",""
"WH1","F2020032400055550000","Vegetables & potatoes","E","","","0.1","8","8","10","640","N","INSL","01","","",""
"WH1","F2020032400055560000","Vegetables & potatoes","E","","","0.1","8","8","10","640","N","INSL","01","","",""
"WH1","F2020032400055570000","Vegetables & potatoes","E","","","0.1","25","5","5","625","J","INSL","01","","",""
"WH1","F2020032400055580000","To go","E","","","0.369","12","12","11","1584","N","THT","02","","",""
"WH1","F2020032400055590000","To go","E","","","0.319","12","12","11","1584","N","THT","02","","",""
"WH1","F2020032400055600000","To go","E","","","0.345","12","12","11","1584","N","THT","02","","",""
"WH1","F2020032400055670000","Cheese","E","","","0.074","8","6","5","240","N","THT","02","","",""
"WH1","F2020032500055750000","To cook & heat","E","","","0.414","19","14.000000000000002","5","1330","J","THT","02","","",""
"WH1","F2020032500055830000","","E","","","0.414","19","14.000000000000002","5","1330","J","THT","02","","",""
"WH1","F2020032600055840000","Prepacked bread","E","","","0.82","10","11","25","2750","N","THT","01","","",""
"WH1","F2020032600055880000","Cheese","E","","","0.294","7.000000000000001","10","7.000000000000001","490","N","THT","02","","",""
"WH1","F2020032600055890000","Ready to use fresh vegetables  & prepare","E","","","0.105","24","5","26","3120","N","THT","02","","",""
"WH1","F2020032600055900000","Cheese","E","","","0.205","9","4","9","324","N","THT","02","","",""
"WH1","F2020032600055910000","Cheese","E","","","0.202","10","8","4","320","N","THT","02","","",""
"WH1","F2020032700055940000","Apero & Entrees","E","","","0.55","20","20","2","800","N","THT","02","","",""
"WH1","F2020033100056100000","Apero & Entrees","E","","","0.205","10","10","2","200","N","THT","02","","",""
"WH1","F2020040200056140000","Charcuterie","E","","","0.356","22","20","2","880","N","THT","02","","",""
"WH1","F2020040200056180000","Yoghurt Soft white cheeses & desserts","E","","","0.613","16","8","8","1024","N","THT","02","","",""
"WH1","F2020040200056190000","Yoghurt Soft white cheeses & desserts","E","","","0.613","16","8","8","1024","N","THT","02","","",""
"WH1","F2020040200056200000","To go","E","","","0.22","8","8","13","832","J","THT","02","","",""
"WH1","F2020040600056350000","Fats","E","","","0.525","15","10","8","1200","N","THT","02","","",""
"WH1","F2020040600056360000","Fats","E","","","0.264","13","9","5","585","N","THT","02","","",""
"WH1","F2020040600056370000","Fats","E","","","0.525","15","10","8","1200","N","THT","02","","",""
"WH1","F2020040600056390000","Fats","E","","","0.264","13","9","5","585","N","THT","02","","",""
"WH1","F2020040700056430000","Fats","E","","","0.264","13","9","5","585","N","THT","02","","",""
"WH1","F2020040700056440000","Fats","E","","","0.264","13","9","5","585","N","THT","02","","",""
"WH1","F2020040800056540000","Prepacked bread","E","","","0.26","32","14.000000000000002","5","2240","N","THT","01","","",""
"WH1","F2020040800056550000","Prepacked bread","E","","","0.26","28.000000000000004","14.000000000000002","4","1568","N","THT","01","","",""
"WH1","F2020040800056570000","To go","E","","","0.635","15","15","10","2250","N","THT","02","","",""
"WH1","F2020040800056580000","To go","E","","","0.635","15","15","10","2250","N","THT","02","","",""
"WH1","F2020040800056600000","To go","E","","","0.635","15","15","10","2250","N","THT","02","","",""
"WH1","F2020040900056610000","Ready to use fresh vegetables  & prepare","E","","","0.155","24","5","24","2880","N","THT","02","","",""
"WH1","F2020040900056620000","Fats","E","","","0.112","3","5","16","240","J","THT","02","","",""
"WH1","F2020041000056700000","Cheese","E","","","0.305","5","14.000000000000002","11","770","J","THT","02","","",""
"WH1","F2020042100057320000","Fresh fish","E","","","0.352","24","15","4","1440","N","THT","02","","",""
"WH1","F2020042200057480000","Cheese","E","","","0.205","17","3","17","867","J","THT","02","","",""
"WH1","F2020042400057590000","Yoghurt Soft white cheeses & desserts","E","","","0.778","8","8","16","1024","N","THT","02","","",""
"WH1","F2020043000057840000","Cheese","E","","","0.227","8","4","10","320","N","THT","02","","",""
"WH1","F2020050400057880000","Ingredients dairy","E","","","0.208","8","8","10","640","N","THT","02","","",""
"WH1","F2020050400057890000","Ingredients dairy","E","","","0.208","8","8","10","640","N","THT","02","","",""
"WH1","F2020050400057950000","Fruits","E","","","0.474","15","14.000000000000002","7.000000000000001","1470","N","INSL","02","","",""
"WH1","F2020050400057960000","Fruits","E","","","0.474","15","14.000000000000002","7.000000000000001","1470","N","INSL","02","","",""
"WH1","F2020050400057970000","Fruits","E","","","0.518","19","19","4","1444","N","INSL","02","","",""
"WH1","F2020050400057990000","Fruits","E","","","0.518","19","19","4","1444","J","INSL","02","","",""
"WH1","F2020050400058000000","Fruits","E","","","0.518","19","19","4","1444","J","THT","02","","",""
"WH1","F2020050400058010000","Fruits","E","","","0.518","19","19","4","1444","N","INSL","02","","",""
"WH1","F2020050500058100000","Confectioner s","E","","","0.101","8","8","6","384","N","THT","02","","",""
"WH1","F2020050500058160000","Confectioner s","E","","","0.106","8","8","6","384","J","THT","02","","",""
"WH1","F2020050500058180000","Confectioner s","E","","","0.156","8","8","6","384","N","THT","02","","",""
"WH1","F2020050500058190000","Confectioner s","E","","","0.121","8","8","6","384","N","THT","02","","",""
"WH1","F2020050500058210000","Confectioner s","E","","","0.111","8","8","6","384","N","THT","02","","",""
"WH1","F2024073100143750000","Vegetarian products","E","","","0.191","18","14.000000000000002","4","1008","N","THT","02","","",""
"WH1","F2024073100143760000","Ready to use fresh vegetables  & prepare","E","","","1.033","14.000000000000002","12","12","2016","J","THT","02","","",""
"WH1","F2024073100143770000","Fresh meat packed","E","","","0.215","18","14.000000000000002","5","1260","N","THT","02","","",""
"WH1","F2024073100143790000","Fresh meat packed","E","","","0.345","24","15","5","1800","N","THT","02","","",""
"WH1","F2024073100143810000","Fresh meat packed","E","","","0.265","24","15","5","1800","N","THT","02","","",""
"WH1","F2024073100143820000","Cheese","E","","","0.436","19","11","5","1045","J","THT","02","","",""
"WH1","F2024073100143830000","Fresh meat packed","E","","","0.215","18","14.000000000000002","5","1260","N","THT","02","","",""
"WH1","F2024073100143840000","Fresh meat packed","E","","","0.363","18","14.000000000000002","5","1260","N","THT","02","","",""
"WH1","F2024073100143880000","Prepacked bread","E","","","0.21","22","19","6","2508","N","THT","01","","",""
"WH1","F2024080100143930000","Charcuterie","E","","","0.267","13","13","10","1690","N","THT","02","","",""
"WH1","F2024080100143950000","Fresh meat packed","E","","","0.225","18","14.000000000000002","5","1260","N","THT","02","","",""
"WH1","F2024080100144060000","Fresh meat packed","E","","","0.522","24","15","5","1800","J","THT","02","","",""
"WH1","F2024080100144070000","Fresh meat packed","E","","","0.265","24","15","5","1800","N","THT","02","","",""
"WH1","F2024080100144080000","Fresh meat packed","E","","","0.363","18","14.000000000000002","5","1260","N","THT","02","","",""
"WH1","F2024080100144090000","Fresh meat packed","E","","","0.275","24","15","5","1800","N","THT","02","","",""
"WH1","F2024080100144120000","Fresh meat packed","E","","","0.25","18","14.000000000000002","5","1260","N","THT","02","","",""
"WH1","F2024080100144130000","Fresh meat packed","E","","","0.388","18","14.000000000000002","6","1512","N","THT","02","","",""
